"map","begin","title","end"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000038","1681-01-01","Kaart 31 met twintig percelen (aangegeven met A t/m U, waarbij I ontbreekt) gasthuisland, gelegen aan de noordzijde van de Bullewijk (Den Ouden Amstel) in de Bullewijkerpolder en tot in de Holendrechterpolder","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000039","1681-01-01","Kaart 32 met zeventien percelen (aangegeven met A t/m R, waarbij I ontbreekt) gasthuisland, gelegen in de ban van Ouderkerk aan de Amstel op de noordoever van de Bullewijk (= de vaart van Ouderkerk naar Abcoude)","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000040","1681-01-01","Kaart 33 met zestien percelen (aangegeven met A t/m Q, waarbij I ontbreekt) gasthuisland, gelegen aan de Bullewijk (= de Oude Amstel, en de vaart van Ouderkerk naar Abcoude) in het noordoostelijk deel van de Rondehoepspolder","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000041","1681-01-01","Kaart 34 met een weer bestaande uit tien percelen (aangegeven met A t/m K, waarbij I ontbreekt) gasthuisland, gelegen aan de Bullewijk (= de vaart van Ouderkerk naar Abcoude) in het noordoostelijk deel van de Rondehoepspolder","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000042","1681-01-01","Kaart 35 met zestien percelen (aangegeven met A t/m Q, waarbij I ontbreekt) gasthuisland, genaamd de Pollenburg en gelegen in de Sloterpolder lopend vanaf de hoek van de Kostverlorenkade en de Heiligeweg (Overtoom), over de Postjes Wetering tot ongeveer aan de Molenwetering (= Erasmusgracht)","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000043","1681-01-01","Kaart 36 met twintig percelen (aangegeven met A t/m U, waarbij I ontbreekt) gasthuisland, gelegen in de Ban van Sloten lopende van de Haarlemmermeer bij Rijck, via de Sloterweg en de Slotervaart, tot het Slotermeer","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000044","1681-01-01","Kaart 37 met drie percelen (aangegeven met A t/m C) gasthuisland, gelegen tussen de Hogedijk (Haarlemmerdijk) en het IJ ten oosten van het dorp Sloterdijk","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000045","1681-01-01","Kaart 38 met vijftien percelen (aangegeven met A t/m Q, waarbij I ontbreekt) gasthuisland, gelegen op de oostoever van de Vecht in de Ban van Weesp. Getekend door de gezworen landmeter Johannes Leupenius","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KAVA00121000001","1857-01-01","Amsterdam","1857-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KAVA00121000002","1857-01-01","Amsterdam","1857-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00021000001","1693-01-01","Amsterdam vertoonde zich aldus in den Iare 1500","1726-12-31"
